,,,,zone id,3,2,1,30,31,33,34,35,36,29,28,27,26,25,21,32,20
产品ID,开始重量,结束重量,总价单价标志,单位（单价有效）,"美国,加拿大",澳洲，新西兰,德国，英国，法国,墨西哥,日本,澳门,"东南亚
（新加坡，菲律宾，南韩，文莱，台湾，马来西亚，泰国）","南亚
（印尼，柬埔寨，老挝，越南）","欧洲
（比利时，意大利，卢森堡，荷兰，圣马力诺,奥地利,丹麦,芬兰,希腊,根西岛,爱尔兰共和国,泽西岛,挪威,葡萄牙,西班牙,瑞典,瑞士,保加利亚,塞浦路斯,爱沙尼亚,拉脱维亚,立陶宛,马耳他,斯洛伐克,斯洛文尼亚,捷克，匈牙利，波兰，罗马尼亚,捷克，匈牙利，波兰，罗马尼亚）","中东
（巴基斯坦,阿联酋,巴林,伊朗,卡塔尔,科威特,约旦,土耳其,伊拉克,以色列,黎巴嫩,阿曼,沙特阿拉伯,苏丹,叙利亚,也门）","南美
（多米尼加，洪都拉斯，巴拿马，巴拉圭，委内瑞拉）","南美其他
（智利,哥斯达黎加,多米尼加共和国,秘鲁,特立尼达和多巴哥，阿根廷,巴西,古巴,牙买加,乌拉圭，安挂拉，安提瓜,阿鲁巴，巴哈马等）","非洲
（埃及，厄立特里亚,埃塞俄比亚,肯尼亚,利比亚,南非,乌干达，非洲其他国家（刚果，多哥等））","欧洲其他
（安道尔,加那利群岛,非罗岛,直布罗陀,格陵兰,冰岛，阿富汗，科索沃，俄罗斯等）","东南亚其他
（东南亚，北韩，南太平洋等国家）",印度，斯里兰卡,"非洲
（安哥拉,刚果共和国,科特迪瓦，布基纳法索,中非,几内亚共和国,利比里亚,马里,尼日尔,塞拉里昂）"
1,7.50 ,8.00 ,1.00 ,0.00 ,520.00 ,583.50 ,590.00 ,640.00 ,640.00 ,687.50 ,460.00 ,693.50 ,590.00 ,680.00 ,680.00 ,860.00 ,730.00 ,775.00 ,952.00 ,944.50 ,1424.00 
1,8.00 ,8.50 ,1.00 ,0.00 ,546.00 ,615.50 ,620.00 ,672.00 ,675.00 ,726.00 ,484.00 ,732.50 ,620.00 ,715.00 ,715.00 ,907.00 ,768.00 ,815.00 ,1002.50 ,994.50 ,1501.00 
1,8.50 ,9.00 ,1.00 ,0.00 ,572.00 ,647.50 ,650.00 ,704.00 ,710.00 ,764.50 ,508.00 ,771.50 ,650.00 ,750.00 ,750.00 ,954.00 ,806.00 ,855.00 ,1053.00 ,1044.50 ,1578.00 
1,9.00 ,9.50 ,1.00 ,0.00 ,598.00 ,679.50 ,680.00 ,736.00 ,745.00 ,803.00 ,532.00 ,810.50 ,680.00 ,785.00 ,785.00 ,1001.00 ,844.00 ,895.00 ,1103.50 ,1094.50 ,1655.00 
1,9.50 ,10.00 ,1.00 ,0.00 ,624.00 ,711.50 ,710.00 ,768.00 ,780.00 ,841.50 ,556.00 ,849.50 ,710.00 ,820.00 ,820.00 ,1048.00 ,882.00 ,935.00 ,1154.00 ,1144.50 ,1732.00 
1,10.00 ,10.50 ,1.00 ,0.00 ,650.00 ,743.50 ,740.00 ,800.00 ,815.00 ,880.00 ,580.00 ,888.50 ,740.00 ,855.00 ,855.00 ,1095.00 ,920.00 ,975.00 ,1204.50 ,1194.50 ,1809.00 
1,10.50 ,11.00 ,1.00 ,0.00 ,676.00 ,775.50 ,770.00 ,832.00 ,850.00 ,918.50 ,604.00 ,927.50 ,770.00 ,890.00 ,890.00 ,1142.00 ,958.00 ,1015.00 ,1255.00 ,1244.50 ,1886.00 
1,11.00 ,11.50 ,1.00 ,0.00 ,702.00 ,807.50 ,800.00 ,864.00 ,885.00 ,957.00 ,628.00 ,966.50 ,800.00 ,925.00 ,925.00 ,1189.00 ,996.00 ,1055.00 ,1305.50 ,1294.50 ,1963.00 
1,11.50 ,12.00 ,1.00 ,0.00 ,728.00 ,839.50 ,830.00 ,896.00 ,920.00 ,995.50 ,652.00 ,1005.50 ,830.00 ,960.00 ,960.00 ,1236.00 ,1034.00 ,1095.00 ,1356.00 ,1344.50 ,2040.00 
1,12.00 ,12.50 ,1.00 ,0.00 ,754.00 ,871.50 ,860.00 ,928.00 ,955.00 ,1034.00 ,676.00 ,1044.50 ,860.00 ,995.00 ,995.00 ,1283.00 ,1072.00 ,1135.00 ,1406.50 ,1394.50 ,2117.00 
